age,gender,education,occupation,location,workHours,experience,salary
24,Male,B.Tech,Software Engineer,Bengaluru,45,2,8.5
32,Male,M.Tech,DevOps Engineer,Hyderabad,50,8,24
28,Female,B.E,Frontend Developer,Pune,40,5,12.5
35,Female,MBA,Product Manager,Bengaluru,45,10,32
22,Male,BCA,QA Engineer,Chennai,40,1,4.5
40,Male,PhD,Data Scientist,Gurugram,45,15,45
29,Female,B.Tech,Backend Developer,Hyderabad,40,6,18
31,Male,B.E,Cloud Architect,Bengaluru,50,9,28.5
26,Female,M.Tech,Fullstack Developer,Noida,40,3,9
38,Male,B.Tech,Engineering Manager,Mumbai,55,14,55
33,Female,MBA,Data Scientist,Gurugram,41,11,33.8
49,Female,B.Sc IT,DevOps Engineer,Chennai,50,27,64
31,Male,M.Tech,Cloud Architect,Kolkata,47,9,40.6
29,Female,MCA,QA Engineer,Mumbai,42,7,19.7
36,Male,BCA,Cloud Architect,Kolkata,47,14,50.4
28,Female,BCA,Engineering Manager,Bengaluru,36,6,33
29,Male,B.Sc IT,DevOps Engineer,Hyderabad,46,7,25.5
49,Male,B.Sc IT,Frontend Developer,Mumbai,35,27,73.8
24,Male,MBA,Frontend Developer,Gurugram,52,2,11.6
47,Female,MBA,Frontend Developer,Gurugram,52,25,67.2
36,Female,PhD,DevOps Engineer,Noida,47,14,38.3
21,Female,B.Sc IT,Security Engineer,Chennai,37,0,11.3
45,Male,MCA,Security Engineer,Mumbai,38,23,70.1
28,Male,MBA,Engineering Manager,Mumbai,40,6,43
50,Male,B.Tech,Engineering Manager,Bengaluru,47,28,88.3
24,Female,MCA,Engineering Manager,Bengaluru,42,2,23.4
47,Female,PhD,Engineering Manager,Mumbai,52,25,76.2
46,Male,B.Tech,QA Engineer,Noida,47,24,56.5
30,Male,B.Tech,Data Scientist,Pune,52,8,27.4
30,Male,B.Tech,Cloud Architect,Pune,50,8,40.7
45,Male,MCA,Security Engineer,Hyderabad,45,23,68.3
22,Male,MBA,Product Manager,Pune,45,0,7.3
39,Female,B.Tech,Fullstack Developer,Gurugram,53,17,45.4
21,Male,BCA,Backend Developer,Kolkata,54,0,3.4
35,Female,PhD,QA Engineer,Mumbai,46,13,41.6
27,Female,MBA,Software Engineer,Mumbai,53,5,21.2
32,Male,MBA,Fullstack Developer,Gurugram,51,10,31.2
23,Female,PhD,Product Manager,Pune,45,1,13.9
47,Female,BCA,QA Engineer,Kolkata,46,25,65.2
27,Male,B.Sc IT,Cloud Architect,Pune,50,5,31.7
49,Female,BCA,Cloud Architect,Hyderabad,50,27,78.9
27,Female,MBA,Product Manager,Pune,51,5,18.7
22,Male,B.Sc IT,Backend Developer,Mumbai,49,0,7.7
30,Male,MCA,DevOps Engineer,Noida,41,8,25.8
39,Male,M.Tech,QA Engineer,Kolkata,46,17,55
21,Female,BCA,Data Scientist,Mumbai,36,0,15.7
25,Male,BCA,Fullstack Developer,Gurugram,49,3,10.1
